slug,和名,検索学名,実際の学名,観察ID,撮影者,ライセンス,画像URL
three-toed-box-turtle,ミツユビハコガメ,Terrapene carolina triunguis,Terrapene triunguis,16370773,aggie_wildlifer,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/24613862/large.jpeg
ornate-box-turtle,ニシキハコガメ,Terrapene ornata ornata,Terrapene ornata ornata,135081285,rjbaltierra,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/230350827/large.jpeg
desert-box-turtle,サバクニシキハコガメ,Terrapene ornata luteola,Terrapene ornata luteola,147550843,hr_dragonfly,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/253915573/large.jpg
aldabra-tortoise,アルダブラゾウガメ,Aldabrachelys gigantea,Aldabrachelys gigantea,201956010,mcmorgan06,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/356583135/large.jpg
sulcata-tortoise,ケヅメリクガメ,Centrochelys sulcata,Centrochelys sulcata,364258793,sylvie393,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/664968007/large.jpg
leopard-tortoise,ヒョウモンガメ,Stigmochelys pardalis,Stigmochelys pardalis,139132469,m_burger,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/237911209/large.jpg
hermann-tortoise,ヘルマンリクガメ,Testudo hermanni,Testudo hermanni boettgeri,10389032,kostaszontanos,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/14421204/large.jpeg
greek-tortoise,ギリシャリクガメ,Testudo graeca,Testudo graeca ibera,190377106,stevem4560,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/333719013/large.jpeg
iberian-greek-tortoise,イベラギリシャリクガメ,Testudo graeca,Testudo graeca buxtoni,269359785,determer,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/484300834/large.jpeg
russian-tortoise,ヨツユビリクガメ,Testudo horsfieldii,Testudo horsfieldii,223896469,alexander_fomichev,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/396757937/large.jpeg
marginated-tortoise,フチゾリリクガメ,Testudo marginata,Testudo marginata,99549056,pavlaki1968,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/165973935/large.jpg
elongated-tortoise,エロンガータリクガメ,Indotestudo elongata,Indotestudo elongata,128874457,morten,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/218941648/large.jpg
impressed-tortoise,インプレッサムツアシガメ,Manouria impressa,Manouria impressa,32093760,rich_fuller,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/50303863/large.jpeg
pancake-tortoise,パンケーキリクガメ,Malacochersus tornieri,Malacochersus tornieri,56152762,mjp_,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/89462142/large.jpeg
red-footed-tortoise,アカアシガメ,Chelonoidis carbonarius,Chelonoidis carbonarius,253212433,filipeprates,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/453340456/large.jpg
cherry-head-tortoise,アカアシガメ(チェリーヘッド),Chelonoidis carbonarius,Chelonoidis carbonarius,85912360,nicolasr,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/141437146/large.jpeg
